name,cal,cal_from_fat,total_fat_g,total_fat_p,sodium_mg,sodium_p,potassium_mg,potassium_p,total_carb_g,total_carb_p,fiber_g,fiber_p,sugars_g,protein_g,vitamin_a_p,vitamin_c_p,calcium_p,iron_p
Apple,130,0,0,0,0,0,260,7,34,11,5,20,25,1,2,8,2,2
Avocado,50,35,4.50,7,0,0,140,4,3,1,1,4,0,1,0,4,0,2
Banana,110,0,0,0,0,0,450,13,30,10,3,12,19,1,2,15,0,2
Cantaloupe,50,0,0,0,20,1,240,7,12,4,1,4,11,1,120,80,2,2
Grapefruit,60,0,0,0,0,0,160,5,15,5,2,8,11,1,35,100,4,0
Grapes,90,0,0,0,15,1,240,7,23,8,1,4,20,0,0,2,2,0
Honeydew Melon,50,0,0,0,30,1,210,6,12,4,1,4,11,1,2,45,2,2
Kiwifruit,90,10,1,2,0,0,450,13,20,7,4,16,13,1,2,240,4,2
Lemon,15,0,0,0,0,0,75,2,5,2,2,8,2,0,0,40,2,0
Lime,20,0,0,0,0,0,75,2,7,2,2,8,0,0,0,35,0,0
Nectarine,60,5,0.5,1,0,0,250,7,15,5,2,8,11,1,8,15,0,2
Orange,80,0,0,0,0,0,250,7,19,6,3,12,14,1,2,130,6,0
Peach,60,0,0.5,1,0,0,230,7,15,5,2,8,13,1,6,15,0,2
Pear,100,0,0,0,0,0,190,5,26,9,6,24,16,1,0,10,2,0
Pineapple,50,0,0,0,10,0,120,3,13,4,1,4,10,1,2,50,2,2
Plums,70,0,0,0,0,0,230,7,19,6,2,8,16,1,8,10,0,2
Strawberries,50,0,0,0,0,0,170,5,11,4,2,8,8,1,0,160,2,2
Sweet Cherries,100,0,0,0,0,0,350,10,26,9,1,4,16,1,2,15,2,2
Tangerine,50,0,0,0,0,0,160,5,13,4,2,8,9,1,6,45,4,0
Watermelon,80,0,0,0,0,0,270,8,21,7,1,4,20,1,30,25,2,4
